Water supply facility,Phase,Sampling point,Standpipe type,Distance from storage tank (m),FCR (mg/L),pH,Temperature (Celcius),Conductivity (µS/cm),Turbidity (NTU),Date (mm/dd/year),Time (24hrs)
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.16,7.14,25.6,463,0.10,12/17/2021,9:04
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.13,6.98,27.5,479,0.10,12/17/2021,9:22
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.12,6.90,28.2,471,0.06,12/17/2021,9:33
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.14,6.91,28.2,471,0.22,12/17/2021,9:44
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.20,7.00,28.4,475,0.06,12/17/2021,10:09
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.19,6.99,26.2,461,1.32,12/17/2021,10:13
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.13,7.14,26.6,468,0.11,12/20/2021,9:11
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.18,6.96,27.0,484,0.18,12/20/2021,9:39
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.15,6.95,30.2,483,0.07,12/20/2021,10:00
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.21,6.88,29.1,480,0.12,12/20/2021,10:21
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.17,6.95,28.6,477,0.07,12/20/2021,10:37
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.23,6.97,26.2,478,0.15,12/20/2021,10:50
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.18,7.40,26.5,482,0.48,12/21/2021,8:57
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.20,7.07,26.7,501,0.33,12/21/2021,9:13
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.20,7.12,28.4,518,0.26,12/21/2021,9:24
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.18,7.02,28.2,510,0.25,12/21/2021,9:33
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.17,7.12,27.6,509,0.25,12/21/2021,9:44
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.09,6.89,26.5,482,0.40,12/21/2021,9:58
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.13,7.18,26.0,536,0.11,12/22/2021,9:13
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.26,6.94,28.3,471,0.11,12/22/2021,9:27
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.26,6.90,28.2,477,0.08,12/22/2021,9:37
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.31,6.93,27.4,478,0.08,12/22/2021,9:47
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.27,6.87,27.8,477,0.09,12/22/2021,9:56
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.16,7.25,26.2,501,0.09,12/23/2021,9:10
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.38,7.10,28.6,496,0.09,12/23/2021,9:29
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,7.03,28.5,480,0.08,12/23/2021,9:41
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.35,7.05,28.0,476,0.08,12/23/2021,9:49
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.28,6.96,28.1,475,0.06,12/23/2021,10:01
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.29,6.99,26.7,474,0.11,12/23/2021,10:17
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.19,7.01,25.5,477,0.15,12/24/2021,8:45
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.93,7.10,26.9,471,0.98,12/24/2021,9:00
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.82,7.03,27.8,481,0.72,12/24/2021,9:29
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.47,7.13,27.9,463,0.69,12/24/2021,9:40
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.16,6.95,26.9,471,0.07,12/24/2021,9:56
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.52,7.06,29.3,462,0.12,12/27/2021,8:54
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.22,6.93,29.5,490,0.11,12/27/2021,9:10
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.17,7.06,29.1,477,0.07,12/27/2021,9:21
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.18,6.91,29.0,470,0.07,12/27/2021,9:32
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.22,6.94,28.8,474,0.07,12/27/2021,9:41
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.20,6.87,28.7,458,0.40,12/27/2021,9:52
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.10,6.81,27.3,473,0.09,12/28/2021,9:02
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.12,6.91,28.3,451,0.09,12/28/2021,9:21
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.19,6.88,28.6,445,0.07,12/28/2021,9:30
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.16,6.90,28.4,450,0.09,12/28/2021,9:39
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.11,6.94,28.3,447,0.06,12/28/2021,9:49
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.10,6.90,28.6,472,0.12,12/28/2021,9:59
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.05,7.32,27.4,475,0.07,12/29/2021,8:53
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.36,6.90,29.5,454,0.09,12/29/2021,9:09
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.40,7.04,29.2,514,0.07,12/29/2021,9:20
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.34,7.08,28.8,512,0.09,12/29/2021,9:53
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.34,7.07,28.9,505,0.07,12/29/2021,9:55
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.10,6.99,28.6,479,0.10,12/29/2021,9:58
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.47,7.27,27.6,486,2.24,12/30/2021,9:02
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.83,7.22,28.1,515,0.11,12/30/2021,9:40
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.71,7.18,28.6,513,0.11,12/30/2021,9:49
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.53,7.15,26.9,491,0.76,12/30/2021,10:02
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.59,7.16,29.1,533,0.16,12/31/2021,10:09
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.21,7.15,28.4,478,0.24,1/3/2022,8:42
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.24,7.04,28.2,497,0.07,1/3/2022,8:58
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.26,7.00,29.0,496,0.06,1/3/2022,9:09
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.24,6.99,28.5,498,0.06,1/3/2022,9:18
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.24,7.01,29.1,487,0.06,1/3/2022,9:27
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.15,6.95,28.2,488,0.16,1/3/2022,9:44
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.16,6.93,26.0,466,0.14,1/4/2022,9:00
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.46,6.97,28.3,490,0.13,1/4/2022,9:15
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.41,7.22,28.4,483,0.06,1/4/2022,9:25
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.44,6.97,28.1,482,0.06,1/4/2022,9:35
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.40,6.99,27.6,458,0.06,1/4/2022,9:46
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.14,6.91,27.7,473,0.14,1/4/2022,9:59
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.27,6.81,26.3,493,0.18,1/5/2022,8:52
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.32,7.02,26.6,472,0.06,1/5/2022,9:08
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,7.15,27.5,469,0.07,1/5/2022,9:18
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.30,6.93,27.3,467,0.07,1/5/2022,9:26
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.30,6.84,27.3,469,0.06,1/5/2022,9:36
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.18,6.87,27.0,467,0.09,1/5/2022,9:47
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.12,7.10,26.7,482,0.12,1/6/2022,9:13
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.25,7.02,28.0,466,0.09,1/6/2022,9:29
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.17,6.97,28.4,463,0.07,1/6/2022,9:39
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.21,6.91,28.4,460,0.06,1/6/2022,9:52
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.19,7.01,28.0,460,0.06,1/6/2022,10:05
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.15,6.93,27.5,472,0.10,1/6/2022,10:25
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.11,6.89,25.1,484,0.09,1/7/2022,9:12
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.67,7.15,27.1,488,0.08,1/7/2022,9:28
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.51,7.17,28.4,498,0.11,1/7/2022,9:40
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.56,7.12,28.2,497,0.06,1/7/2022,9:49
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.52,7.16,28.1,494,0.09,1/7/2022,10:01
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.48,7.10,27.7,499,0.08,1/7/2022,10:15
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.11,7.08,25.4,475,0.07,1/10/2022,9:12
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.52,7.05,27.8,476,0.09,1/10/2022,9:26
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.35,7.00,28.1,473,0.07,1/10/2022,9:36
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.39,7.11,27.8,471,0.07,1/10/2022,9:46
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.40,6.98,27.5,467,0.07,1/10/2022,9:55
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.27,7.01,27.2,468,0.08,1/10/2022,10:07
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.21,6.97,26.5,472,0.09,1/11/2022,9:10
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.36,6.96,27.3,481,0.09,1/11/2022,9:35
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,7.11,28.5,490,0.09,1/11/2022,9:51
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.33,7.02,28.4,482,0.08,1/11/2022,10:09
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.29,7.05,28.0,471,0.08,1/11/2022,10:23
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.26,7.04,24.7,474,0.24,1/11/2022,10:43
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.27,6.93,26.8,469,0.08,1/12/2022,9:01
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.29,7.10,27.1,471,0.10,1/12/2022,9:18
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.15,7.06,27.9,466,0.08,1/12/2022,9:38
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.34,7.08,28.5,465,0.15,1/12/2022,9:51
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.21,7.01,28.0,465,0.15,1/12/2022,10:06
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.37,7.30,26.5,466,0.09,1/13/2022,9:26
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.35,7.03,28.4,472,0.09,1/13/2022,9:41
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.30,7.14,28.1,464,0.10,1/13/2022,9:52
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.31,6.98,28.3,466,0.14,1/13/2022,10:04
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.25,7.01,28.2,459,0.08,1/13/2022,10:16
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.34,6.92,25.9,467,0.21,1/13/2022,10:30
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.19,7.19,26.7,478,0.09,1/14/2022,9:02
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.25,7.06,27.5,480,0.10,1/14/2022,9:17
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.22,7.18,28.2,475,0.16,1/14/2022,9:28
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.27,7.02,28.4,483,0.17,1/14/2022,9:44
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.21,7.07,28.2,461,0.17,1/14/2022,9:58
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.34,7.06,27.6,452,0.58,1/14/2022,10:13
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.44,7.26,24.6,466,0.22,1/17/2022,8:45
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.30,7.09,25.4,470,0.09,1/17/2022,9:00
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,7.02,26.9,459,0.09,1/17/2022,9:15
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.26,6.96,26.4,463,0.09,1/17/2022,9:25
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.23,7.00,26.4,458,0.07,1/17/2022,9:38
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.29,7.03,23.0,454,0.08,1/17/2022,9:49
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.69,7.23,24.1,512,0.26,1/20/2022,8:00
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.67,7.17,22.8,494,0.55,1/20/2022,8:12
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.50,7.29,25.5,455,0.30,1/21/2022,8:47
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.18,6.89,25.6,437,0.14,1/21/2022,9:12
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.18,6.86,25.9,443,0.14,1/21/2022,9:14
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.36,7.16,23.4,443,0.43,1/24/2022,7:55
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.24,7.03,24.4,458,0.19,1/24/2022,8:16
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.23,7.02,25.5,450,0.13,1/24/2022,8:26
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.24,6.99,25.4,454,0.12,1/24/2022,8:36
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.20,7.01,25.5,442,0.09,1/24/2022,8:46
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.36,7.11,24.9,440,0.09,1/24/2022,8:59
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.13,7.17,22.4,442,0.08,1/25/2022,7:49
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.13,7.14,24.7,456,0.08,1/25/2022,8:02
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.16,7.02,25.0,451,0.10,1/25/2022,8:11
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.16,7.00,25.2,451,0.11,1/25/2022,8:19
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.14,7.01,25.4,458,0.07,1/25/2022,8:27
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.20,7.06,24.1,443,0.20,1/25/2022,8:36
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.71,6.78,22.8,440,0.39,1/28/2022,7:27
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.21,6.77,21.6,443,0.95,1/28/2022,8:01
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.07,6.91,21.3,427,0.32,1/31/2022,7:49
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.27,6.78,26.0,440,0.13,1/31/2022,8:10
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.23,6.60,25.0,425,0.08,1/31/2022,8:23
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.24,6.65,25.4,429,0.21,1/31/2022,8:33
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.21,6.60,25.5,420,0.10,1/31/2022,8:45
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.64,6.74,22.3,423,0.41,1/31/2022,9:02
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.13,6.90,24.0,413,0.09,2/1/2022,7:57
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.18,6.73,23.6,417,0.39,2/1/2022,8:19
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.14,6.63,25.0,419,0.18,2/1/2022,8:29
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.13,6.61,24.6,417,0.12,2/1/2022,8:39
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.14,6.67,25.2,418,0.12,2/1/2022,8:49
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.09,6.68,25.0,411,0.56,2/1/2022,9:08
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.08,6.82,27.9,427,0.28,2/2/2022,12:25
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.19,6.78,28.8,428,0.07,2/2/2022,12:39
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.15,6.78,29.4,427,0.07,2/2/2022,12:50
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.00,6.82,30.0,411,0.19,2/2/2022,13:19
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.08,7.17,24.0,415,0.18,2/3/2022,8:09
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.42,6.89,25.8,417,0.08,2/3/2022,8:25
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.37,6.85,25.6,405,0.11,2/3/2022,8:34
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.38,6.78,25.8,408,0.18,2/3/2022,8:42
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.36,6.80,25.3,400,0.09,2/3/2022,8:53
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.53,6.88,21.5,405,0.49,2/3/2022,9:05
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.29,6.77,28.3,448,0.09,2/4/2022,9:35
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.27,6.82,24.9,397,0.15,2/4/2022,9:51
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.22,7.16,28.0,375,0.59,2/7/2022,8:55
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.21,7.01,29.9,386,0.09,2/7/2022,9:11
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.22,6.89,29.5,372,0.09,2/7/2022,9:23
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.23,6.88,29.5,372,0.16,2/7/2022,9:34
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.21,6.89,28.9,365,0.14,2/7/2022,9:49
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.87,6.91,29.6,360,0.57,2/7/2022,10:04
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.09,7.01,27.9,363,0.48,2/8/2022,7:50
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.24,6.98,28.2,384,0.15,2/8/2022,8:04
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.16,7.01,28.2,379,0.10,2/8/2022,8:12
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.17,7.00,28.0,383,0.09,2/8/2022,8:19
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.16,7.02,28.0,383,0.14,2/8/2022,8:26
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.14,6.94,28.1,370,0.20,2/8/2022,8:34
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.11,7.01,29.5,362,0.14,2/9/2022,9:07
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.28,7.05,29.7,374,0.10,2/9/2022,9:20
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.33,6.89,30.4,365,0.13,2/9/2022,9:31
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.25,6.89,29.3,366,0.13,2/9/2022,9:40
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.24,6.91,29.2,354,0.11,2/9/2022,9:50
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.20,6.93,28.0,366,0.15,2/10/2022,8:52
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.22,6.90,29.6,380,0.12,2/10/2022,9:08
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.20,6.86,29.2,373,0.08,2/10/2022,9:21
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.21,6.84,28.9,371,0.10,2/10/2022,9:32
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.19,6.84,29.2,362,0.11,2/10/2022,9:47
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.46,6.86,29.3,356,1.96,2/10/2022,10:02
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.52,6.95,28.5,371,0.21,2/11/2022,8:56
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.18,6.88,30.4,394,0.12,2/11/2022,9:14
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.28,6.85,29.8,377,0.13,2/11/2022,9:27
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.11,6.88,29.6,393,0.16,2/11/2022,9:56
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.13,6.86,30.9,375,0.15,2/11/2022,11:31
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.14,6.88,31.1,366,0.20,2/11/2022,11:47
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.17,6.86,30.3,347,0.13,2/14/2022,10:11
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.28,6.87,30.7,358,1.48,2/14/2022,10:24
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.11,6.85,29.7,351,0.24,2/14/2022,10:37
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.18,6.79,29.7,358,0.22,2/14/2022,10:48
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.21,6.85,29.5,346,0.13,2/14/2022,10:58
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.23,6.78,28.0,347,0.20,2/14/2022,11:09
WSF1 (manual chlorination),Evaluation,HH2,Far,1042.17,0.36,7.05,29.4,439,0.10,2/15/2022,8:40
WSF1 (manual chlorination),Evaluation,HH1,Near,35.54,0.37,6.95,31.4,439,0.30,2/15/2022,8:56
WSF1 (manual chlorination),Evaluation,SP1Main,Far,850.28,0.27,6.91,29.5,440,0.25,2/15/2022,9:08
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.30,6.92,29.2,433,0.09,2/15/2022,9:17
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.30,6.95,29.1,426,0.14,2/15/2022,9:26
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.58,6.87,29.0,427,0.67,2/15/2022,9:38
WSF1 (manual chlorination),Evaluation,SP18,Near,624.44,0.46,6.77,28.8,456,0.13,2/16/2022,9:41
WSF1 (manual chlorination),Evaluation,SP16,Near,1171.21,0.52,6.87,28.5,432,0.18,2/16/2022,9:50
WSF1 (manual chlorination),Evaluation,AGL_Gas_Station,Far,2992.48,0.49,6.74,27.7,423,0.18,2/16/2022,10:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.26,6.77,31.1,250,0.17,11/16/2021,10:53
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.33,6.49,29.6,243,0.17,11/16/2021,11:28
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.16,6.61,32.0,272,0.14,11/16/2021,12:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.73,5.30,30.5,230,0.24,11/16/2021,14:28
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.65,NA,32.8,235,0.22,11/16/2021,14:39
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.35,5.19,32.4,260,0.11,11/16/2021,14:53
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.22,6.49,31.4,260,0.35,11/17/2021,12:09
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.61,6.40,31.5,243,0.23,11/17/2021,12:17
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.49,6.40,31.9,246,0.26,11/17/2021,12:27
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.55,6.37,30.3,268,0.22,11/17/2021,17:13
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.62,6.27,30.6,250,0.18,11/17/2021,17:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.38,6.32,29.7,245,0.19,11/17/2021,17:32
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.47,NA,NA,NA,0.88,11/18/2021,10:45
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.31,NA,NA,NA,0.26,11/18/2021,11:20
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.62,6.49,30.2,264,0.30,11/18/2021,17:04
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.60,6.40,29.7,247,0.40,11/18/2021,17:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.55,6.60,29.6,252,0.20,11/18/2021,17:19
